steps,date,interval
NA,01-10-2012,2055
NA,01-10-2012,2100
NA,01-10-2012,2105
NA,01-10-2012,2110
NA,01-10-2012,2115
NA,01-10-2012,2120
NA,01-10-2012,2125
NA,01-10-2012,2130
NA,01-10-2012,2135
NA,01-10-2012,2140
NA,01-10-2012,2145
NA,01-10-2012,2150
NA,01-10-2012,2155
NA,01-10-2012,2200
NA,01-10-2012,2205
NA,01-10-2012,2210
NA,01-10-2012,2215
NA,01-10-2012,2220
NA,01-10-2012,2225
NA,01-10-2012,2230
NA,01-10-2012,2235
NA,01-10-2012,2240
NA,01-10-2012,2245
NA,01-10-2012,2250
NA,01-10-2012,2255
NA,01-10-2012,2300
NA,01-10-2012,2305
NA,01-10-2012,2310
NA,01-10-2012,2315
NA,01-10-2012,2320
NA,01-10-2012,2325
NA,01-10-2012,2330
NA,01-10-2012,2335
NA,01-10-2012,2340
NA,01-10-2012,2345
NA,01-10-2012,2350
NA,01-10-2012,2355
0,02-10-2012,0
0,02-10-2012,5
0,02-10-2012,10
0,02-10-2012,15
0,02-10-2012,20
0,02-10-2012,25
0,02-10-2012,30
0,02-10-2012,35
0,02-10-2012,40
0,02-10-2012,45
0,02-10-2012,50
0,02-10-2012,55
0,02-10-2012,100
0,02-10-2012,105
0,02-10-2012,110
0,02-10-2012,115
0,02-10-2012,120
0,02-10-2012,125
0,02-10-2012,130
0,02-10-2012,135
0,02-10-2012,140
0,02-10-2012,145
0,02-10-2012,150
0,02-10-2012,155
0,02-10-2012,200
0,02-10-2012,205
0,02-10-2012,210
0,02-10-2012,215
0,02-10-2012,220
0,02-10-2012,225
0,02-10-2012,230
0,02-10-2012,235
0,02-10-2012,240
0,02-10-2012,245
0,02-10-2012,250
0,02-10-2012,255
0,02-10-2012,300
0,02-10-2012,305
0,02-10-2012,310
0,02-10-2012,315
0,02-10-2012,320
0,02-10-2012,325
0,02-10-2012,330
0,02-10-2012,335
0,02-10-2012,340
0,02-10-2012,345
0,02-10-2012,350
0,02-10-2012,355
0,02-10-2012,400
0,02-10-2012,405
0,02-10-2012,410
0,02-10-2012,415
0,02-10-2012,420
0,02-10-2012,425
0,02-10-2012,430
0,02-10-2012,435
0,02-10-2012,440
0,02-10-2012,445
0,02-10-2012,450
0,02-10-2012,455
0,02-10-2012,500
0,02-10-2012,505
0,02-10-2012,510
0,02-10-2012,515
0,02-10-2012,520
0,02-10-2012,525
0,02-10-2012,530
0,02-10-2012,535
0,02-10-2012,540
0,02-10-2012,545
0,02-10-2012,550
0,02-10-2012,555
0,02-10-2012,600
0,02-10-2012,605
0,02-10-2012,610
0,02-10-2012,615
0,02-10-2012,620
0,02-10-2012,625
0,02-10-2012,630
0,02-10-2012,635
0,02-10-2012,640
0,02-10-2012,645
0,02-10-2012,650
0,02-10-2012,655
0,02-10-2012,700
0,02-10-2012,705
0,02-10-2012,710
0,02-10-2012,715
0,02-10-2012,720
0,02-10-2012,725
0,02-10-2012,730
0,02-10-2012,735
0,02-10-2012,740
0,02-10-2012,745
0,02-10-2012,750
0,02-10-2012,755
0,02-10-2012,800
0,02-10-2012,805
0,02-10-2012,810
0,02-10-2012,815
0,02-10-2012,820
0,02-10-2012,825
0,02-10-2012,830
0,02-10-2012,835
0,02-10-2012,840
0,02-10-2012,845
0,02-10-2012,850
0,02-10-2012,855
0,02-10-2012,900
0,02-10-2012,905
0,02-10-2012,910
0,02-10-2012,915
0,02-10-2012,920
0,02-10-2012,925
0,02-10-2012,930
0,02-10-2012,935
0,02-10-2012,940
0,02-10-2012,945
0,02-10-2012,950
0,02-10-2012,955
0,02-10-2012,1000
0,02-10-2012,1005
0,02-10-2012,1010
0,02-10-2012,1015
0,02-10-2012,1020
0,02-10-2012,1025
0,02-10-2012,1030
0,02-10-2012,1035
0,02-10-2012,1040
0,02-10-2012,1045
0,02-10-2012,1050
0,02-10-2012,1055
0,02-10-2012,1100
0,02-10-2012,1105
0,02-10-2012,1110
0,02-10-2012,1115
0,02-10-2012,1120
0,02-10-2012,1125
0,02-10-2012,1130
0,02-10-2012,1135
0,02-10-2012,1140
0,02-10-2012,1145
0,02-10-2012,1150
0,02-10-2012,1155
0,02-10-2012,1200
0,02-10-2012,1205
0,02-10-2012,1210
0,02-10-2012,1215
0,02-10-2012,1220
0,02-10-2012,1225
0,02-10-2012,1230
0,02-10-2012,1235
0,02-10-2012,1240
0,02-10-2012,1245
0,02-10-2012,1250
0,02-10-2012,1255
0,02-10-2012,1300
0,02-10-2012,1305
0,02-10-2012,1310
0,02-10-2012,1315
0,02-10-2012,1320
0,02-10-2012,1325
0,02-10-2012,1330
0,02-10-2012,1335
0,02-10-2012,1340
0,02-10-2012,1345
0,02-10-2012,1350
0,02-10-2012,1355
0,02-10-2012,1400
0,02-10-2012,1405
0,02-10-2012,1410
0,02-10-2012,1415
0,02-10-2012,1420
0,02-10-2012,1425
0,02-10-2012,1430
0,02-10-2012,1435
0,02-10-2012,1440
0,02-10-2012,1445
0,02-10-2012,1450
0,02-10-2012,1455
0,02-10-2012,1500
0,02-10-2012,1505
0,02-10-2012,1510
0,02-10-2012,1515
0,02-10-2012,1520
0,02-10-2012,1525
0,02-10-2012,1530
0,02-10-2012,1535
0,02-10-2012,1540
0,02-10-2012,1545
0,02-10-2012,1550
0,02-10-2012,1555
0,02-10-2012,1600
0,02-10-2012,1605
0,02-10-2012,1610
0,02-10-2012,1615
0,02-10-2012,1620
0,02-10-2012,1625
0,02-10-2012,1630
0,02-10-2012,1635
0,02-10-2012,1640
0,02-10-2012,1645
0,02-10-2012,1650
0,02-10-2012,1655
0,02-10-2012,1700
0,02-10-2012,1705
0,02-10-2012,1710
0,02-10-2012,1715
0,02-10-2012,1720
0,02-10-2012,1725
0,02-10-2012,1730
0,02-10-2012,1735
0,02-10-2012,1740
0,02-10-2012,1745
0,02-10-2012,1750
0,02-10-2012,1755
0,02-10-2012,1800
0,02-10-2012,1805
0,02-10-2012,1810
0,02-10-2012,1815
0,02-10-2012,1820
0,02-10-2012,1825
0,02-10-2012,1830
0,02-10-2012,1835
0,02-10-2012,1840
0,02-10-2012,1845
0,02-10-2012,1850
0,02-10-2012,1855
0,02-10-2012,1900
0,02-10-2012,1905
0,02-10-2012,1910
0,02-10-2012,1915
0,02-10-2012,1920
0,02-10-2012,1925
0,02-10-2012,1930
0,02-10-2012,1935
0,02-10-2012,1940
0,02-10-2012,1945
0,02-10-2012,1950
0,02-10-2012,1955
0,02-10-2012,2000
0,02-10-2012,2005
0,02-10-2012,2010
0,02-10-2012,2015
0,02-10-2012,2020
0,02-10-2012,2025
0,02-10-2012,2030
0,02-10-2012,2035
0,02-10-2012,2040
0,02-10-2012,2045
0,02-10-2012,2050
0,02-10-2012,2055
0,02-10-2012,2100
0,02-10-2012,2105
0,02-10-2012,2110
0,02-10-2012,2115
0,02-10-2012,2120
0,02-10-2012,2125
0,02-10-2012,2130
0,02-10-2012,2135
0,02-10-2012,2140
0,02-10-2012,2145
0,02-10-2012,2150
0,02-10-2012,2155
0,02-10-2012,2200
0,02-10-2012,2205
117,02-10-2012,2210
9,02-10-2012,2215
0,02-10-2012,2220
0,02-10-2012,2225
0,02-10-2012,2230
0,02-10-2012,2235
0,02-10-2012,2240
0,02-10-2012,2245
0,02-10-2012,2250
0,02-10-2012,2255
0,02-10-2012,2300
0,02-10-2012,2305
0,02-10-2012,2310
0,02-10-2012,2315
0,02-10-2012,2320
0,02-10-2012,2325
0,02-10-2012,2330
0,02-10-2012,2335
0,02-10-2012,2340
0,02-10-2012,2345
0,02-10-2012,2350
0,02-10-2012,2355
0,03-10-2012,0
0,03-10-2012,5
0,03-10-2012,10
0,03-10-2012,15
0,03-10-2012,20
0,03-10-2012,25
0,03-10-2012,30
0,03-10-2012,35
0,03-10-2012,40
0,03-10-2012,45
0,03-10-2012,50
0,03-10-2012,55
0,03-10-2012,100
0,03-10-2012,105
0,03-10-2012,110
0,03-10-2012,115
0,03-10-2012,120
0,03-10-2012,125
0,03-10-2012,130
0,03-10-2012,135
0,03-10-2012,140
0,03-10-2012,145
0,03-10-2012,150
0,03-10-2012,155
0,03-10-2012,200
0,03-10-2012,205
0,03-10-2012,210
0,03-10-2012,215
0,03-10-2012,220
0,03-10-2012,225
0,03-10-2012,230
0,03-10-2012,235
0,03-10-2012,240
0,03-10-2012,245
0,03-10-2012,250
0,03-10-2012,255
0,03-10-2012,300
0,03-10-2012,305
0,03-10-2012,310
0,03-10-2012,315
0,03-10-2012,320
0,03-10-2012,325
0,03-10-2012,330
0,03-10-2012,335
0,03-10-2012,340
0,03-10-2012,345
0,03-10-2012,350
0,03-10-2012,355
0,03-10-2012,400
0,03-10-2012,405
4,03-10-2012,410
0,03-10-2012,415
0,03-10-2012,420
0,03-10-2012,425
36,03-10-2012,430
0,03-10-2012,435
0,03-10-2012,440
0,03-10-2012,445
0,03-10-2012,450
0,03-10-2012,455
0,03-10-2012,500
0,03-10-2012,505
0,03-10-2012,510
0,03-10-2012,515
0,03-10-2012,520
0,03-10-2012,525
0,03-10-2012,530
25,03-10-2012,535
0,03-10-2012,540
0,03-10-2012,545
90,03-10-2012,550
411,03-10-2012,555
413,03-10-2012,600
415,03-10-2012,605
519,03-10-2012,610
529,03-10-2012,615
613,03-10-2012,620
562,03-10-2012,625
612,03-10-2012,630
534,03-10-2012,635
323,03-10-2012,640
600,03-10-2012,645
533,03-10-2012,650
251,03-10-2012,655
56,03-10-2012,700
0,03-10-2012,705
32,03-10-2012,710
80,03-10-2012,715
10,03-10-2012,720
9,03-10-2012,725
145,03-10-2012,730
46,03-10-2012,735
0,03-10-2012,740
44,03-10-2012,745
126,03-10-2012,750
42,03-10-2012,755
138,03-10-2012,800
53,03-10-2012,805
0,03-10-2012,810
0,03-10-2012,815
22,03-10-2012,820
57,03-10-2012,825
161,03-10-2012,830
19,03-10-2012,835
15,03-10-2012,840
0,03-10-2012,845
16,03-10-2012,850
0,03-10-2012,855
0,03-10-2012,900
8,03-10-2012,905
0,03-10-2012,910
51,03-10-2012,915
516,03-10-2012,920
245,03-10-2012,925
0,03-10-2012,930
161,03-10-2012,935
7,03-10-2012,940
0,03-10-2012,945
0,03-10-2012,950
0,03-10-2012,955
0,03-10-2012,1000
0,03-10-2012,1005
0,03-10-2012,1010
0,03-10-2012,1015
0,03-10-2012,1020
0,03-10-2012,1025
0,03-10-2012,1030
0,03-10-2012,1035
0,03-10-2012,1040
0,03-10-2012,1045
0,03-10-2012,1050
0,03-10-2012,1055
0,03-10-2012,1100
0,03-10-2012,1105
0,03-10-2012,1110
0,03-10-2012,1115
0,03-10-2012,1120
0,03-10-2012,1125
0,03-10-2012,1130
72,03-10-2012,1135
73,03-10-2012,1140
0,03-10-2012,1145
0,03-10-2012,1150
116,03-10-2012,1155
97,03-10-2012,1200
0,03-10-2012,1205
0,03-10-2012,1210
0,03-10-2012,1215
0,03-10-2012,1220
0,03-10-2012,1225
